"Y1"	"Y10"	"Y20"	"Y30"
13.24	13.95	13.76	13.55
11.43	13.06	12.91	12.77
10.85	12.34	12.16	12.07
9.32	10.91	10.97	11.17
9.16	10.55	10.57	10.54
8.91	10.54	10.62	10.54
8.62	10.46	10.78	10.63
8.92	10.72	11.03	10.88
9.04	10.51	10.8	10.63
8.98	10.4	10.63	10.48
8.9	10.38	10.67	10.53
9.66	10.85	11.12	10.93
10.2	11.38	11.59	11.4
10.53	11.85	11.96	11.82
10.16	11.65	11.82	11.63
9.81	11.54	11.77	11.58
9.94	11.69	11.92	11.75
10.11	11.83	12.02	11.88
9.9	11.67	11.82	11.75
10.04	11.84	12	11.95
10.59	12.32	12.45	12.38
10.9	12.63	12.65	12.65
11.66	13.41	13.43	13.43
12.08	13.56	13.54	13.44
12.03	13.36	13.36	13.21
11.82	12.72	12.71	12.54
11.58	12.52	12.42	12.29
10.9	12.16	12.04	11.98
9.82	11.57	11.66	11.56
9.33	11.5	11.64	11.52
9.02	11.38	11.58	11.45
9.29	11.51	11.7	11.47
9.86	11.86	12.06	11.81
9.14	11.43	11.69	11.47
8.46	10.85	11.19	11.05
7.8	10.16	10.57	10.45
7.86	10.31	10.68	10.5
8.05	10.33	10.73	10.56
8.07	10.37	10.8	10.61
8.01	10.24	10.67	10.5
7.88	9.78	10.24	10.06
7.67	9.26	9.75	9.54
7.73	9.19	9.59	9.4
7.61	8.7	9.08	8.93
7.03	7.78	8.09	7.96
6.44	7.3	7.5	7.39
6.65	7.71	7.81	7.52
6.73	7.8	7.69	7.57
6.27	7.3	7.29	7.27
5.93	7.17	7.28	7.33
5.77	7.45	7.56	7.62
5.72	7.43	7.61	7.7
5.8	7.25	7.42	7.52
5.87	7.11	7.28	7.37
5.78	7.08	NA	7.39
5.96	7.25	NA	7.54
6.03	7.25	NA	7.55
6.5	8.02	NA	8.25
7	8.61	NA	8.78
6.8	8.4	NA	8.57
6.68	8.45	NA	8.64
7.03	8.76	NA	8.97
7.67	9.42	NA	9.59
7.59	9.52	NA	9.61
